0.85 0.90,,0.91,92
0.89 0.91,,0.89,0.9
0.84 0.83,,0.85,0.91
0.89 0.93,,0.81,0.87
0.82 0.93,,0.89,0.91
,,0.81,0.87
,,0.85,0.9
,,0.84,0.89
,,0.86,0.92
,,0.86,0.87
